Location,Number,Category,,,,
15B,8-1552,Main Hospital Nursing Units,,,,
15C,8-1518,Main Hospital Nursing Units,,,,
26 (SICU),8-2750,Main Hospital Nursing Units,,,,
28 (SICU),8-2850,Main Hospital Nursing Units,,,,
41 (MTU) rooms 1-12,8-4130,Main Hospital Nursing Units,,,,
41 (MTU) rooms 13-20,8-4150,Main Hospital Nursing Units,,,,
42,8-4250,Main Hospital Nursing Units,,,,
43,8-4350,Main Hospital Nursing Units,,,,
44 (PEDS) rooms 1-19,8-6352,Main Hospital Nursing Units,,,,
44 (PICU) rooms 21-28,8-6363,Main Hospital Nursing Units,,,,
45,8-4550,Main Hospital Nursing Units,,,,
46,8-4650,Main Hospital Nursing Units,,,,
51,8-5150,Main Hospital Nursing Units,,,,
52 (BCI),8-6546,Main Hospital Nursing Units,,,,
52 (BBC),8-6540,Main Hospital Nursing Units,,,,
53,8-9350,Main Hospital Nursing Units,,,,
54 (LDR),8-5450,Main Hospital Nursing Units,,,,
55 (NICU),8-6350,Main Hospital Nursing Units,,,,
56MB (Mother Baby),8-5650,Main Hospital Nursing Units,,,,
61 (MSI),8-6185,Main Hospital Nursing Units,,,,
62,5-6250,Main Hospital Nursing Units,,,,
63 (TICU),8-5950,Main Hospital Nursing Units,,,,
64,8-6475,Main Hospital Nursing Units,,,,
65 (MICU),8-0800,Main Hospital Nursing Units,,,,
66,8-0900,Main Hospital Nursing Units,,,,
,,,,,,
BMT Apheresis (SCA),8-1725,Bell Procedure Areas,,,,
Burn&Wound Care,8-5475,Bell Procedure Areas,,,,
Cath/EP Lab,8-2660,Bell Procedure Areas,,,,
Dialysis,8-6069,Bell Procedure Areas,,,,
GI/Endo,8-2964,Bell Procedure Areas,,,,
Heart Failure InfusionClinic,5-7500,Bell Procedure Areas,,,,
Interventional Radiology,8-4846,Bell Procedure Areas,,,,
IR Recovery,8-2035,Bell Procedure Areas,,,,
MRI,8-1835,Bell Procedure Areas,,,,
Mac Echo,8-9643,Bell Procedure Areas,,,,
PAT Clinic,8-6217,Bell Procedure Areas,,,,
Radiology,8-6800,Bell Procedure Areas,,,,
Spine Center,8-7444/8-7864,Bell Procedure Areas,,,,
,,,,,,
OR*,8-2880,Main OR/Pre-Posts,,,,
North Pre-post,8-2100,Main OR/Pre-Posts,,,,
Central Pre-post,8-2141,Main OR/Pre-Posts,,,,
South Pre-post,8-3500,Main OR/Pre-Posts,,,,
Bell OR pharmacy,8-4155,Main OR/Pre-Posts,,,,
Bell Pharmacy Numbers,,Main OR/Pre-Posts,,,,
Bell Inpatient Pharmacy,8-2810,Main OR/Pre-Posts,,,,
Controlled Substance Room,4-0443,Main OR/Pre-Posts,,,,
Bell Outpatient Backdoor #'s,8-2056/8-2537,Main OR/Pre-Posts,,,,
Pre-pack,8-2313,Main OR/Pre-Posts,,,,
IV Room (pharmacist area),8-2320,Main OR/Pre-Posts,,,,
,,,,,,
ED (pharmacist),8-6565,Heart Center Nursing Units,,,,
ED N Rooms 2-22,4-0201,Heart Center Nursing Units,,,,
HC2 (CTR) & HC2PP,8-7700,Heart Center Nursing Units,,,,
HC3 (CTI),8-8100,Heart Center Nursing Units,,,,
HC4 (CTP),8-9300,Heart Center Nursing Units,,,,
HC5 (CVP),8-9530,Heart Center Nursing Units,,,,
HC7 (CFP),5-7500,Heart Center Nursing Units,,,,
HC8,8-1555,Heart Center Nursing Units,,,,
HC9,8-7580,Heart Center Nursing Units,,,,
,,,,,,
CVOR*,8-3000,Heart Center OR/CVOR PP,,,,
HC3 Pre/Post (CVPP),8-3900,Heart Center OR/CVOR PP,,,,
Heart Center Pharmacy,8-3812,Heart Center OR/CVOR PP,,,,
,,,,,,
EVS,4-1500,Maintenance,,,,
Maintenance,8-1273,Maintenance,,,,
Materials Mgmt,8-7640,Maintenance,,,,
Tube Station Support,8-3491/8-1273,Maintenance,,,,
HITS,5-9999,Maintenance,,,,
,,,,,,
CA5,4-4100,Cambridge Nursing Units,,,,
CA6,4-4200,Cambridge Nursing Units,,,,
CA7,4-4300,Cambridge Nursing Units,,,,
CA8,4-4400,Cambridge Nursing Units,,,,
CA8 ICU,4-4450,Cambridge Nursing Units,,,,
CA9,4-4500,Cambridge Nursing Units,,,,
CA10,4-4600,Cambridge Nursing Units,,,,
CA11,4-4700,Cambridge Nursing Units,,,,
,,,,,,
